iter	RMSE
0	14.74553646
1	14.40109193
2	14.04529016
3	13.69811271
4	13.37433528
5	13.08528167
6	12.79645525
7	12.52173448
8	12.26164446
9	11.97847302
10	11.69761322
11	11.45656156
12	11.19699646
13	10.96950615
14	10.73947233
15	10.51816753
16	10.31277992
17	10.11329078
18	9.911376993
19	9.717443853
20	9.549117117
21	9.386453526
22	9.215832651
23	9.062611968
24	8.910442794
25	8.775498376
26	8.644128245
27	8.541443712
28	8.408689847
29	8.294730559
30	8.18645863
31	8.057552041
32	7.953715253
33	7.851160538
34	7.74350861
35	7.653699196
36	7.559992979
37	7.477080655
38	7.392054697
39	7.311358114
40	7.233951032
41	7.162225209
42	7.088027651
43	7.019608562
44	6.956669914
45	6.894723489
46	6.826085165
47	6.77015803
48	6.710932037
49	6.64998805
50	6.600880722
51	6.54361447
52	6.495551749
53	6.444140871
54	6.394772109
55	6.347951332
56	6.304753616
57	6.269298483
58	6.230554557
59	6.200855063
60	6.166822288
61	6.136280542
62	6.104487154
63	6.06803509
64	6.037484178
65	6.010312493
66	5.978513832
67	5.949149625
68	5.922759932
69	5.898040959
70	5.875463284
71	5.852301082
72	5.826524496
73	5.802240767
74	5.776794416
75	5.753138321
76	5.733796681
77	5.716296919
78	5.696195257
79	5.677750082
80	5.666181443
81	5.644191691
82	5.62666674
83	5.61355357
84	5.601018567
85	5.582371577
86	5.56552309
87	5.551919731
88	5.538673858
89	5.522303532
90	5.513636316
91	5.501211296
92	5.491106305
93	5.480590247
94	5.4701648
95	5.462810455
96	5.449779369
97	5.440468517
98	5.428761412
99	5.418997368
100	5.40858093
101	5.397150117
102	5.384336362
103	5.373721279
104	5.363648712
105	5.356147239
106	5.347885252
107	5.33665829
108	5.328932718
109	5.31960143
110	5.309934347
111	5.297340524
112	5.288556207
113	5.277232143
114	5.271249876
115	5.268655697
116	5.256826528
117	5.248704801
118	5.241882376
119	5.23071729
120	5.22347379
121	5.220954358
122	5.212199213
123	5.206854246
124	5.201903332
125	5.191597416
126	5.185112162
127	5.179852517
128	5.170815601
129	5.166115238
130	5.160704259
131	5.153846923
132	5.14442224
133	5.136577167
134	5.128779237
135	5.119753106
136	5.116388489
137	5.10896093
138	5.10475036
139	5.101948955
140	5.096390117
141	5.091709463
142	5.08890296
143	5.084544136
144	5.07860242
145	5.070403844
146	5.063522309
147	5.054394206
148	5.047337318
149	5.042761173
150	5.036563513
151	5.032636892
152	5.026280745
153	5.021996238
154	5.015897095
155	5.008503398
156	5.005340048
157	5.000140991
158	4.994307329
159	4.988230961
160	4.97988907
161	4.975683734
162	4.971960385
163	4.966704729
164	4.958095124
165	4.95384279
166	4.951803004
167	4.948089273
168	4.945863572
169	4.942486263
170	4.939071948
171	4.933306664
172	4.928586259
173	4.923030894
174	4.918297581
175	4.916270147
176	4.912044962
177	4.902415388
178	4.900231881
179	4.894455931
180	4.890477741
181	4.883253898
182	4.879615022
183	4.874179549
184	4.8705053
185	4.86561064
186	4.86119567
187	4.854726372
188	4.852011454
189	4.846467378
190	4.838836448
191	4.835166397
192	4.829389579
193	4.822805021
194	4.819903999
195	4.816238325
196	4.807659138
197	4.801268678
198	4.797914596
199	4.789724983
200	4.786815026
201	4.782578755
202	4.779182702
203	4.772782333
204	4.767053264
205	4.763926445
206	4.756616647
207	4.752378637
208	4.745718245
209	4.743481844
210	4.738440801
211	4.735188886
212	4.727997193
213	4.724059262
214	4.718673175
215	4.711584725
216	4.706875921
217	4.702527193
218	4.698568414
219	4.693394809
220	4.688487233
221	4.685411406
222	4.681438882
223	4.678141943
224	4.674990741
225	4.672404457
226	4.666996178
227	4.660323898
228	4.654509337
229	4.650738799
230	4.647517579
231	4.645018205
232	4.638875398
233	4.633356088
234	4.630704276
235	4.625754143
236	4.621999647
237	4.613914872
238	4.611639413
239	4.608182555
240	4.60436765
241	4.600428356
242	4.597756513
243	4.592631297
244	4.58668559
245	4.581287703
246	4.576820953
247	4.571502622
248	4.568173297
249	4.563866026
250	4.560664984
251	4.558950814
252	4.555823639
253	4.55080475
254	4.543145968
255	4.539904639
256	4.533364977
257	4.530681721
258	4.529426937
259	4.526292235
260	4.524205252
261	4.521517019
262	4.516341989
263	4.512949858
264	4.510957051
265	4.506609947
266	4.503010304
267	4.50001695
268	4.495533079
269	4.489815869
270	4.487465829
271	4.482622361
272	4.475378281
273	4.471584768
