iter	Passed	Remaining
0	153	153260
1	154	77202
2	155	51760
3	156	39041
4	157	31425
5	160	26513
6	162	23060
7	164	20384
8	166	18313
9	168	16647
10	169	15232
11	170	14060
12	172	13062
13	172	12172
14	174	11484
15	177	10915
16	178	10335
17	180	9840
18	181	9393
19	183	8975
20	184	8597
21	185	8253
22	186	7937
23	188	7657
24	190	7426
25	192	7206
26	193	6989
27	195	6791
28	197	6600
29	198	6414
30	199	6240
31	200	6063
32	201	5896
33	202	5751
34	204	5640
35	206	5539
36	208	5435
37	210	5329
38	212	5229
39	213	5125
40	214	5023
41	216	4926
42	217	4834
43	218	4753
44	221	4699
45	223	4634
46	225	4564
47	226	4497
48	228	4428
49	229	4357
50	230	4288
51	231	4225
52	232	4163
53	235	4117
54	237	4079
55	239	4031
56	240	3983
57	242	3934
58	243	3884
59	244	3834
60	245	3786
61	247	3740
62	248	3700
63	251	3675
64	253	3644
65	254	3607
66	256	3572
67	257	3535
68	259	3498
69	260	3460
70	261	3424
71	262	3388
72	264	3360
73	267	3350
74	269	3323
75	271	3295
76	272	3264
77	273	3233
78	274	3203
79	275	3173
80	277	3144
81	278	3115
82	279	3092
83	282	3080
84	284	3060
85	285	3036
86	287	3015
87	288	2991
88	289	2967
89	291	2943
90	292	2919
91	293	2896
92	294	2874
93	296	2861
94	299	2850
95	300	2832
96	302	2815
97	303	2797
98	305	2777
99	306	2757
100	307	2737
101	308	2718
102	309	2699
103	312	2688
104	314	2679
105	316	2665
106	317	2650
107	319	2638
108	320	2623
109	322	2609
110	324	2596
111	325	2583
112	328	2576
113	330	2567
114	331	2553
115	333	2539
116	334	2527
117	336	2513
118	337	2500
119	339	2487
120	340	2475
121	342	2465
122	345	2460
123	346	2448
124	348	2436
125	350	2429
126	351	2419
127	353	2408
128	355	2398
129	356	2386
130	358	2377
131	361	2375
132	363	2367
133	364	2357
134	366	2347
135	367	2336
136	369	2324
137	370	2312
138	371	2300
139	372	2289
140	374	2282
141	377	2280
142	379	2272
143	380	2263
144	382	2255
145	383	2244
146	384	2233
147	386	2222
148	387	2213
149	388	2204
150	391	2200
151	393	2195
152	395	2188
153	396	2180
154	398	2170
155	399	2160
156	401	2153
157	402	2144
158	403	2135
159	406	2134
160	408	2130
161	411	2126
162	413	2120
163	414	2113
164	416	2105
165	417	2096
166	418	2087
167	419	2079
168	422	2075
169	424	2071
170	426	2065
171	427	2059
172	429	2051
173	430	2042
174	431	2034
175	433	2027
176	434	2019
177	436	2015
178	439	2014
179	440	2008
180	442	2002
181	444	1995
182	445	1989
183	446	1982
184	448	1974
185	449	1966
186	450	1958
187	453	1959
188	456	1956
189	457	1950
190	459	1947
191	460	1939
192	462	1932
193	463	1924
194	464	1917
195	466	1912
196	468	1910
197	471	1908
198	472	1903
199	474	1897
200	475	1890
201	476	1883
202	478	1877
203	479	1872
204	480	1865
205	483	1861
206	485	1860
207	487	1857
208	489	1851
209	490	1844
210	491	1839
211	493	1832
212	494	1826
213	495	1819
214	496	1813
215	498	1809
216	501	1808
217	502	1804
218	504	1799
219	505	1793
220	507	1787
221	508	1781
222	509	1775
223	510	1769
224	512	1763
225	513	1759
226	516	1758
227	518	1754
228	519	1749
229	520	1743
230	522	1737
231	523	1732
232	524	1726
233	525	1720
234	526	1714
235	527	1708
236	529	1705
237	532	1703
238	533	1699
239	534	1694
240	536	1688
241	537	1683
242	538	1677
243	539	1672
244	541	1667
245	542	1661
246	543	1656
247	545	1655
248	548	1653
249	550	1650
250	551	1646
251	553	1642
252	554	1637
253	556	1633
254	557	1629
255	559	1625
256	562	1626
257	564	1624
258	566	1621
259	568	1618
260	570	1614
261	571	1609
262	572	1604
263	573	1600
264	575	1595
265	594	1639
266	596	1636
267	597	1632
268	598	1627
269	599	1621
270	601	1616
271	602	1612
272	603	1607
273	604	1602
274	606	1597
275	607	1593
276	609	1591
277	612	1590
278	614	1587
279	615	1583
280	617	1579
281	618	1574
282	619	1569
283	620	1565
284	622	1560
285	624	1559
286	626	1557
287	628	1554
288	630	1550
289	631	1546
290	632	1541
291	634	1537
292	635	1532
293	636	1528
294	637	1523
295	639	1520
296	642	1520
297	644	1517
298	645	1513
299	647	1510
300	649	1508
301	650	1504
302	651	1499
303	653	1495
304	654	1491
305	657	1490
306	659	1487
307	660	1484
308	661	1480
309	663	1475
310	664	1471
311	665	1467
312	666	1463
313	667	1458
314	668	1454
315	670	1451
316	673	1451
317	675	1448
318	676	1444
319	677	1440
320	679	1436
321	680	1432
322	681	1428
323	682	1424
324	683	1420
325	684	1416
326	687	1414
327	689	1412
328	691	1409
329	692	1406
